カテゴリ,施設名,住所,緯度,経度,リンク
"幼稚園","竜ヶ崎愛宕幼稚園","
〒301-0004 茨城県龍ケ崎市馴馬町４９６","35.9087815","140.1741855","https://www.google.com/maps/place/%E7%AB%9C%E3%83%B6%E5%B4%8E%E6%84%9B%E5%AE%95%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60227ab0b805509d:0x8b9fd1d5568e9d22!8m2!3d35.9087815!4d140.1741855!16s%2Fg%2F1tm0by4c!19sChIJnVAFuLB6ImARIp2OVtXRn4s?authuser=0&hl=ja&rclk=1"
"幼稚園","白山幼稚園","
〒302-0023 茨城県取手市白山２丁目９−７","35.9020469","140.0606468","https://www.google.com/maps/place/%E7%99%BD%E5%B1%B1%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60227709ce816f93:0x177d10a5a642eb75!8m2!3d35.9020469!4d140.0606468!16s%2Fg%2F1thp82vh!19sChIJk2-Bzgl3ImARdetCpqUQfRc?authuser=0&hl=ja&rclk=1"
"幼稚園","善隣幼稚園","
〒315-0014 茨城県石岡市国府４丁目３−３","36.187709","140.279073","https://www.google.com/maps/place/%E5%96%84%E9%9A%A3%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602216a68dcf8435:0x879be8bb7782dbb0!8m2!3d36.187709!4d140.279073!16s%2Fg%2F1tdb4d06!19sChIJNYTPjaYWImARsNuCd7vom4c?authuser=0&hl=ja&rclk=1"
"幼稚園","あづま幼稚園","
〒302-0032 茨城県取手市ゆめみ野４丁目２２−１","35.9209016","140.0426703","https://www.google.com/maps/place/%E3%81%82%E3%81%A5%E3%81%BE%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602276413040db0d:0x53ac0f2110626fcc!8m2!3d35.9209016!4d140.0426703!16s%2Fg%2F1tkshxmh!19sChIJDdtAMEF2ImARzG9iECEPrFM?authuser=0&hl=ja&rclk=1"
"幼稚園","取手幼稚園","
〒302-0001 茨城県取手市小文間４１８８","35.8858729","140.1068855","https://www.google.com/maps/place/%E5%8F%96%E6%89%8B%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x6022776c042e91c7:0x67c5a584a96f2e7f!8m2!3d35.8858729!4d140.1068855!16s%2Fg%2F1td_yqcj!19sChIJx5EuBGx3ImARfy5vqYSlxWc?authuser=0&hl=ja&rclk=1"
"幼稚園","まさみ幼稚園","
〒311-3124 茨城県東茨城郡茨城町中石崎８５２","36.2917445","140.48377","https://www.google.com/maps/place/%E3%81%BE%E3%81%95%E3%81%BF%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60223a4538f715fd:0x2c5db8aa75a216f4!8m2!3d36.2917445!4d140.48377!16s%2Fg%2F120nqfmd!19sChIJ_RX3OEU6ImAR9Baidaq4XSw?authuser=0&hl=ja&rclk=1"
"幼稚園","はなのわ幼稚園（学校法人）","
〒312-0052 茨城県ひたちなか市新堀（大字２７５９−２","36.410416","140.5326353","https://www.google.com/maps/place/%E3%81%AF%E3%81%AA%E3%81%AE%E3%82%8F%E5%B9%BC%E7%A8%9A%E5%9C%92%EF%BC%88%E5%AD%A6%E6%A0%A1%E6%B3%95%E4%BA%BA%EF%BC%89/data=!4m7!3m6!1s0x60222f6ae15bfe0f:0x868b83b7dbdf9c07!8m2!3d36.410416!4d140.5326353!16s%2Fg%2F1tx1t99w!19sChIJD_5b4WovImARB5zf27eDi4Y?authuser=0&hl=ja&rclk=1"
"幼稚園","赤塚幼稚園","
〒311-4141 茨城県水戸市赤塚１丁目１９９７","36.384766","140.416936","https://www.google.com/maps/place/%E8%B5%A4%E5%A1%9A%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602223e271d880bd:0x7d0e0f84953ab1b4!8m2!3d36.384766!4d140.416936!16s%2Fg%2F1xb2dpd6!19sChIJvYDYceIjImARtLE6lYQPDn0?authuser=0&hl=ja&rclk=1"
"幼稚園","水戸英宏平須幼稚園","
〒310-0853 茨城県水戸市平須町１８２０−１１６","36.3306619","140.4392328","https://www.google.com/maps/place/%E6%B0%B4%E6%88%B8%E8%8B%B1%E5%AE%8F%E5%B9%B3%E9%A0%88%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602224a571535b2b:0x75e17fcf240eb7b6!8m2!3d36.3306619!4d140.4392328!16s%2Fg%2F1tfmcbkt!19sChIJK1tTcaUkImARtrcOJM9_4XU?authuser=0&hl=ja&rclk=1"
"幼稚園","ドレミ幼稚園","
〒319-0208 茨城県笠間市市野谷１５４２−１２","36.284998","140.285615","https://www.google.com/maps/place/%E3%83%89%E3%83%AC%E3%83%9F%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60221996320c21c3:0xbdc965f3516ed149!8m2!3d36.284998!4d140.285615!16s%2Fg%2F1td42lsf!19sChIJwyEMMpYZImARSdFuUfNlyb0?authuser=0&hl=ja&rclk=1"
