カテゴリ,施設名,住所,緯度,経度,リンク
"こども園","天鐘こども園","
〒950-2042 新潟県新潟市西区坂井９１４−１","37.8674171","138.9594383","https://www.google.com/maps/place/%E5%A4%A9%E9%90%98%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c7af3eea915d:0xc98023eaca877bd6!8m2!3d37.8674171!4d138.9594383!16s%2Fg%2F11ggbbhlnr!19sChIJXZHqPq_H9F8R1nuHyuojgMk?authuser=0&hl=ja&rclk=1"
"こども園","このはこども園","
〒950-0157 新潟県新潟市江南区鵜ノ子３丁目４−４４","37.875572","139.0900169","https://www.google.com/maps/place/%E3%81%93%E3%81%AE%E3%81%AF%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4ced23280e38b:0x86a8af5009c3052d!8m2!3d37.875572!4d139.0900169!16s%2Fg%2F11c58r84bk!19sChIJi-OAMtLO9F8RLQXDCVCvqIY?authuser=0&hl=ja&rclk=1"
"こども園","きになる、こども園 岡山乳児園","
〒950-0804 新潟県新潟市東区本所252番地1","37.9109123","139.1255506","https://www.google.com/maps/place/%E3%81%8D%E3%81%AB%E3%81%AA%E3%82%8B%E3%80%81%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92+%E5%B2%A1%E5%B1%B1%E4%B9%B3%E5%85%90%E5%9C%92/data=!4m7!3m6!1s0x5ff4cb95a8b5d8e1:0x89c911ae8f0d138f!8m2!3d37.9109123!4d139.1255506!16s%2Fg%2F1tfsmv5r!19sChIJ4di1qJXL9F8RjxMNj64RyYk?authuser=0&hl=ja&rclk=1"
"こども園","上木戸こども園","
〒950-0891 新潟県新潟市東区上木戸５丁目１７−１３ 常明会上木戸保育園","37.919317","139.105279","https://www.google.com/maps/place/%E4%B8%8A%E6%9C%A8%E6%88%B8%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cbca74d68e15:0x5b5f7983a11c476d!8m2!3d37.919317!4d139.105279!16s%2Fg%2F1tk22sc7!19sChIJFY7WdMrL9F8RbUccoYN5X1s?authuser=0&hl=ja&rclk=1"
"こども園","幼保連携型認定こども園 にじ","
〒956-0816 新潟県新潟市秋葉区新津東町２丁目２−８","37.8011121","139.1404694","https://www.google.com/maps/place/%E5%B9%BC%E4%BF%9D%E9%80%A3%E6%90%BA%E5%9E%8B%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92+%E3%81%AB%E3%81%98/data=!4m7!3m6!1s0x5ff4d192b3fdb943:0xfea190bdb72fe83e!8m2!3d37.8011121!4d139.1404694!16s%2Fg%2F11h764cyxy!19sChIJQ7n9s5LR9F8RPugvt72Qof4?authuser=0&hl=ja&rclk=1"
"こども園","なの花こども園","
〒950-2261 新潟県新潟市西区赤塚２３６２−１","37.81866","138.881212","https://www.google.com/maps/place/%E3%81%AA%E3%81%AE%E8%8A%B1%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c1a89c1678b1:0x78f16c8cb0359616!8m2!3d37.81866!4d138.881212!16s%2Fg%2F1td6s1tt!19sChIJsXgWnKjB9F8RFpY1sIxs8Xg?authuser=0&hl=ja&rclk=1"
"こども園","にごりかわこども園","
〒950-3131 新潟県新潟市北区濁川３００","37.9313805","139.1589058","https://www.google.com/maps/place/%E3%81%AB%E3%81%94%E3%82%8A%E3%81%8B%E3%82%8F%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cb3e730aded7:0x16b6cb75fd7bbc57!8m2!3d37.9313805!4d139.1589058!16s%2Fg%2F1tdy8xkb!19sChIJ194Kcz7L9F8RV7x7_XXLthY?authuser=0&hl=ja&rclk=1"
"こども園","東明こども園","
〒950-0853 新潟県新潟市東区東明３丁目１５−２ 東明福祉会東明保育園","37.9014654","139.0865735","https://www.google.com/maps/place/%E6%9D%B1%E6%98%8E%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c965da588c8d:0xa1ab49b1e3e1424d!8m2!3d37.9014654!4d139.0865735!16s%2Fg%2F1tkrln2g!19sChIJjYxY2mXJ9F8RTULh47FJq6E?authuser=0&hl=ja&rclk=1"
"こども園","新潟あゆみこども園","
〒950-0836 新潟県新潟市東区東中野山３丁目１３−２６","37.90068","139.112393","https://www.google.com/maps/place/%E6%96%B0%E6%BD%9F%E3%81%82%E3%82%86%E3%81%BF%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cbe47bfae065:0x84d0a8e71be7ede0!8m2!3d37.90068!4d139.112393!16s%2Fg%2F1tmbvz9p!19sChIJZeD6e-TL9F8R4O3nG-eo0IQ?authuser=0&hl=ja&rclk=1"
"こども園","新潟葵こども園","
〒951-8068 新潟県新潟市中央区上大川前通２番町１３５−１","37.9156019","139.0437183","https://www.google.com/maps/place/%E6%96%B0%E6%BD%9F%E8%91%B5%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c9ead17a7c03:0xbc40ab2483e6de98!8m2!3d37.9156019!4d139.0437183!16s%2Fg%2F11fcrg1zd4!19sChIJA3x60erJ9F8RmN7mgySrQLw?authuser=0&hl=ja&rclk=1"
